ip,geo
45.56.154.44,"39.7600,-98.5000"
107.181.69.204,"32.5814,-83.6286"
107.181.69.206,"32.5814,-83.6286"
107.181.69.74,"32.5814,-83.6286"
109.163.234.8,"46.0000,25.0000"
130.185.150.92,"51.4964,-0.1224"
151.236.19.87,"51.5142,-0.0931"
162.250.234.177,"40.7548,-73.6018"
178.162.199.116,"51.2993,9.4910"
178.162.199.45,"51.2993,9.4910"
178.162.200.48,"51.2993,9.4910"
178.162.208.134,"51.2993,9.4910"
178.162.211.236,"51.2993,9.4910"
178.162.214.35,"51.2993,9.4910"
178.162.214.48,"51.2993,9.4910"
178.162.214.49,"51.2993,9.4910"
185.43.110.57,"51.4964,-0.1224"
185.43.110.58,"51.4964,-0.1224"
185.56.80.127,"52.3824,4.8995"
185.56.80.128,"52.3824,4.8995"
185.56.80.144,"52.3824,4.8995"
185.56.80.150,"52.3824,4.8995"
185.7.214.122,"48.8582,2.3387"
188.166.26.63,"52.3500,4.9167"
188.64.186.162,"53.6833,-2.9167"
195.88.208.156,"55.7386,37.6068"
204.74.209.58,"37.3501,-121.9854"
209.159.138.19,"40.7143,-74.0060"
213.152.161.69,"52.3824,4.8995"
216.158.230.147,"40.7801,-74.0633"
37.139.52.47,"48.1500,11.5833"
37.220.1.21,"51.4964,-0.1224"
37.58.59.73,"51.2993,9.4910"
37.58.59.80,"51.2993,9.4910"
37.9.61.70,"51.4964,-0.1224"
45.56.148.212,"38.7259,-75.1678"
45.56.154.12,"39.7600,-98.5000"
45.56.154.141,"39.7600,-98.5000"
45.56.154.147,"39.7600,-98.5000"
45.56.154.161,"39.7600,-98.5000"
45.56.154.199,"39.7600,-98.5000"
45.56.154.26,"39.7600,-98.5000"
45.56.154.50,"39.7600,-98.5000"
45.56.154.56,"39.7600,-98.5000"
45.56.154.84,"39.7600,-98.5000"
46.165.207.21,"51.2993,9.4910"
46.165.220.247,"51.2993,9.4910"
46.165.228.114,"51.2993,9.4910"
46.185.93.16,"46.4639,30.7386"
46.227.67.83,"59.3294,18.0686"
5.133.176.26,"51.4964,-0.1224"
5.135.81.18,"48.8582,2.3387"
50.197.60.69,"40.5489,-79.7844"
69.65.11.134,"42.0643,-87.9921"
69.65.13.191,"42.0643,-87.9921"
69.65.15.90,"42.0643,-87.9921"
69.65.38.78,"42.0643,-87.9921"
69.65.51.87,"42.0643,-87.9921"
69.65.52.63,"42.0643,-87.9921"
79.119.100.10,"46.7667,23.6000"
82.137.13.68,"44.4333,26.1000"
82.184.111.46,"43.1479,12.1097"
87.117.201.172,"51.4964,-0.1224"
88.150.142.53,"51.4964,-0.1224"
88.150.142.55,"51.4964,-0.1224"
91.109.28.129,"51.2993,9.4910"
91.233.116.223,"60.1708,24.9375"
95.154.201.110,"51.4964,-0.1224"
